// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A02
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
05155,2,0,-53.0000,9.529054,-0.049248,-2.322417,0.212720,0.254959,-0.010205,0.049032,-0.041344,-0.007450,0.437784,0.437905,-0.136314,0.095295,-0.000490,-0.023205,1.000000,0.000245,-0.000207,-0.000037,-0.999980,-0.001657,0.005897,0.001461,0.190906,-0.675525,-0.168584,0.999926,-0.002942,0.011790,0.002903,0.999990,0.003332,-0.011800,-0.003297,0.999925
05156,2,0,-53.0000,9.597611,-0.190891,-2.401654,0.173073,0.402766,0.072976,0.088388,-0.055224,-0.019076,0.440625,0.446639,-0.138624,0.095983,-0.001907,-0.023991,1.000000,0.000442,-0.000276,-0.000095,-0.999982,-0.001722,0.005620,0.001019,0.197947,-0.643825,-0.117852,0.999935,-0.002057,0.011237,0.002018,0.999992,0.003455,-0.011244,-0.003432,0.999931
05157,2,0,-53.0000,9.640184,-0.034771,-2.437991,0.137851,0.250006,0.126963,0.141528,-0.037938,-0.031163,0.438248,0.439194,-0.132389,0.096406,-0.000345,-0.024362,1.000000,0.000708,-0.000190,-0.000156,-0.999984,-0.001790,0.005410,0.000309,0.205303,-0.619907,-0.036521,0.999941,-0.000637,0.010819,0.000599,0.999993,0.003583,-0.010821,-0.003576,0.999935
05158,2,0,-53.0000,9.523425,0.267676,-2.588674,-0.064114,-0.036046,0.059652,0.163343,-0.024298,-0.039196,0.436684,0.440141,-0.139302,0.095238,0.002679,-0.025873,1.000000,0.000817,-0.000121,-0.000196,-0.999984,-0.001840,0.005277,-0.000529,0.210592,-0.604807,0.059528,0.999944,0.001039,0.010556,-0.001078,0.999993,0.003675,-0.010552,-0.003686,0.999938
05159,2,0,-53.0000,9.470337,0.587036,-2.551423,-0.071330,-0.358437,0.006074,0.169401,-0.000220,-0.037578,0.434272,0.441388,-0.138379,0.094704,0.005874,-0.025509,1.000000,0.000847,-0.000001,-0.000188,-0.999983,-0.001896,0.005252,-0.001386,0.216424,-0.602088,0.157746,0.999941,0.002753,0.010508,-0.002793,0.999989,0.003777,-0.010498,-0.003806,0.999938
05160,2,0,-53.0000,9.432969,0.726464,-2.371482,0.079507,-0.515503,-0.073051,0.108101,-0.003118,-0.029919,0.443806,0.441046,-0.134186,0.094331,0.007263,-0.023709,1.000000,0.000541,-0.000016,-0.000150,-0.999983,-0.001908,0.005228,-0.001936,0.217544,-0.599562,0.220699,0.999938,0.003852,0.010464,-0.003892,0.999985,0.003797,-0.010449,-0.003837,0.999938
05161,2,0,-53.0000,9.483375,0.614227,-2.244655,0.226027,-0.415906,-0.059427,0.031712,-0.000401,-0.021511,0.438378,0.438935,-0.150162,0.094834,0.006136,-0.022445,1.000000,0.000159,-0.000002,-0.000108,-0.999982,-0.001860,0.005209,-0.002108,0.211921,-0.597394,0.240445,0.999937,0.004196,0.010426,-0.004235,0.999984,0.003699,-0.010411,-0.003742,0.999939
05162,2,0,-53.0000,9.577275,0.383087,-2.193887,0.321273,-0.189855,0.013036,-0.015868,-0.003327,-0.013785,0.443626,0.443709,-0.145032,0.095773,0.003823,-0.021938,1.000000,-0.000079,-0.000017,-0.000069,-0.999983,-0.001788,0.005193,-0.002046,0.203668,-0.595466,0.233353,0.999938,0.004073,0.010393,-0.004110,0.999985,0.003554,-0.010378,-0.003597,0.999940
05163,2,0,-53.0000,9.580361,0.163862,-2.260655,0.279825,0.035916,0.028102,-0.021326,-0.014453,-0.007266,0.439727,0.435544,-0.134827,0.095805,0.001633,-0.022600,1.000000,-0.000107,-0.000072,-0.000036,-0.999984,-0.001745,0.005111,-0.001941,0.198859,-0.586012,0.221448,0.999940,0.003865,0.010228,-0.003900,0.999986,0.003471,-0.010214,-0.003510,0.999942
05164,2,0,-53.0000,9.551101,0.123769,-2.315041,0.225077,0.082015,0.012835,-0.006896,-0.012125,-0.010630,0.425075,0.441680,-0.143172,0.095512,0.001232,-0.023145,1.000000,-0.000034,-0.000061,-0.000053,-0.999984,-0.001704,0.005052,-0.001921,0.194131,-0.579243,0.219104,0.999942,0.003824,0.010110,-0.003858,0.999987,0.003388,-0.010096,-0.003427,0.999943
05165,2,0,-53.0000,9.528369,0.194306,-2.414230,0.118731,0.022273,0.017953,0.009045,-0.015887,-0.012406,0.437707,0.445115,-0.142121,0.095286,0.001938,-0.024135,1.000000,0.000045,-0.000079,-0.000062,-0.999984,-0.001677,0.004960,-0.001969,0.191059,-0.568730,0.224730,0.999943,0.003922,0.009926,-0.003955,0.999987,0.003334,-0.009913,-0.003374,0.999945
05166,2,0,-53.0000,9.535796,0.199381,-2.457069,0.080460,0.021684,0.036242,0.016633,-0.015353,-0.008795,0.436450,0.439044,-0.144305,0.095360,0.001992,-0.024563,1.000000,0.000083,-0.000077,-0.000044,-0.999985,-0.001677,0.004887,-0.002029,0.191073,-0.560352,0.231527,0.999944,0.004041,0.009780,-0.004073,0.999986,0.003335,-0.009766,-0.003374,0.999947
05167,2,0,-53.0000,9.523025,0.246435,-2.398289,0.130909,-0.030852,0.009860,0.016635,-0.015353,-0.008796,0.439667,0.437696,-0.145959,0.095232,0.002462,-0.023975,1.000000,0.000083,-0.000077,-0.000044,-0.999985,-0.001678,0.004799,-0.002109,0.191085,-0.550368,0.240799,0.999945,0.004203,0.009606,-0.004235,0.999985,0.003335,-0.009591,-0.003375,0.999948
05168,2,0,-53.0000,9.489599,0.158069,-2.357959,0.171125,0.053121,-0.034889,0.019735,-0.020771,-0.007607,0.427745,0.442375,-0.143914,0.094898,0.001579,-0.023570,1.000000,0.000099,-0.000104,-0.000038,-0.999985,-0.001691,0.004700,-0.002202,0.192558,-0.538991,0.251483,0.999946,0.004389,0.009407,-0.004421,0.999985,0.003361,-0.009392,-0.003402,0.999950
05169,2,0,-53.0000,9.560667,0.087944,-2.310792,0.243906,0.117922,0.019934,0.027986,-0.024861,-0.009181,0.437715,0.437562,-0.140096,0.095610,0.000878,-0.023096,1.000000,0.000140,-0.000124,-0.000046,-0.999985,-0.001709,0.004565,-0.002337,0.194585,-0.523587,0.266949,0.999947,0.004659,0.009138,-0.004690,0.999983,0.003396,-0.009122,-0.003439,0.999952
05170,2,0,-53.0000,9.642257,0.176013,-2.403392,0.169564,0.039002,0.124622,0.041815,-0.014586,-0.015237,0.441979,0.436817,-0.142800,0.096424,0.001758,-0.024027,1.000000,0.000209,-0.000073,-0.000076,-0.999985,-0.001711,0.004493,-0.002535,0.194749,-0.515308,0.289631,0.999947,0.005055,0.008994,-0.005086,0.999981,0.003399,-0.008976,-0.003444,0.999954
05171,2,0,-53.0000,9.556939,0.307174,-2.492729,0.049890,-0.082346,0.068298,0.050639,0.007889,-0.022514,0.440475,0.438500,-0.140609,0.095569,0.003067,-0.024930,1.000000,0.000253,0.000039,-0.000113,-0.999984,-0.001679,0.004514,-0.002801,0.190939,-0.517835,0.320093,0.999944,0.005586,0.009038,-0.005617,0.999979,0.003332,-0.009019,-0.003383,0.999954
05172,2,0,-53.0000,9.453156,0.374272,-2.475612,0.032141,-0.150138,-0.034788,0.042412,0.015427,-0.015081,0.443145,0.435184,-0.144391,0.094530,0.003741,-0.024763,1.000000,0.000212,0.000077,-0.000075,-0.999983,-0.001668,0.004591,-0.003026,0.189549,-0.526635,0.345883,0.999940,0.006037,0.009191,-0.006067,0.999976,0.003308,-0.009171,-0.003364,0.999952
